project_id,project_name,state,district,sector,legal_disputes,compensation_paid_pct,pending_approvals,rehabilitation_progress_pct,land_area_ha,is_delayed,delay_months
LA-2026-1043,Infrastructure Project 43,Tamil Nadu,District-43,Ports & Maritime,4,84.9,3,80.3,983.8,0,4.1
LA-2026-1044,Infrastructure Project 44,Rajasthan,District-44,Renewable Energy & Solar,4,70.2,3,88.3,224.9,1,4.4
LA-2026-1045,Infrastructure Project 45,Maharashtra,District-45,Ports & Maritime,0,76.5,4,61.7,955.9,0,3.4
LA-2026-1046,Infrastructure Project 46,Karnataka,District-46,Highways & Expressways,3,56.0,3,64.8,469.3,1,5.0
LA-2026-1047,Infrastructure Project 47,Uttar Pradesh,District-47,Highways & Expressways,2,74.9,0,52.3,2090.3,0,2.9
LA-2026-1048,Infrastructure Project 48,Gujarat,District-48,Railways & Dedicated Freight,0,41.0,5,29.8,1987.4,1,5.8
LA-2026-1049,Infrastructure Project 49,Rajasthan,District-49,Ports & Maritime,2,64.0,1,64.9,473.3,0,3.5
LA-2026-1050,Infrastructure Project 50,Tamil Nadu,District-50,Ports & Maritime,4,83.8,2,55.0,2430.7,1,4.3
LA-2026-1051,Infrastructure Project 51,Tamil Nadu,District-51,Ports & Maritime,3,79.5,3,66.4,1643.4,1,4.2
LA-2026-1052,Infrastructure Project 52,Rajasthan,District-52,Ports & Maritime,1,67.8,2,89.4,1266.5,0,2.7
LA-2026-1053,Infrastructure Project 53,Gujarat,District-53,Renewable Energy & Solar,1,76.8,3,100.0,2295.1,0,2.5
LA-2026-1054,Infrastructure Project 54,Tamil Nadu,District-54,Railways & Dedicated Freight,6,68.5,2,57.9,1566.5,1,5.7
LA-2026-1055,Infrastructure Project 55,Madhya Pradesh,District-55,Highways & Expressways,4,67.8,8,63.6,1236.3,1,7.2
LA-2026-1056,Infrastructure Project 56,Rajasthan,District-56,Highways & Expressways,2,91.2,1,100.0,1744.6,0,1.7
LA-2026-1057,Infrastructure Project 57,Gujarat,District-57,Railways & Dedicated Freight,4,65.0,0,89.3,266.2,0,3.4
LA-2026-1058,Infrastructure Project 58,Madhya Pradesh,District-58,Highways & Expressways,2,91.2,3,21.0,1382.2,1,4.3
LA-2026-1059,Infrastructure Project 59,Telangana,District-59,Ports & Maritime,4,69.7,1,84.9,2454.1,0,3.7
LA-2026-1060,Infrastructure Project 60,Tamil Nadu,District-60,Railways & Dedicated Freight,2,77.3,1,41.5,2262.6,0,3.5
LA-2026-1061,Infrastructure Project 61,Karnataka,District-61,Ports & Maritime,1,59.4,1,45.2,477.5,0,3.6
LA-2026-1062,Infrastructure Project 62,Maharashtra,District-62,Renewable Energy & Solar,1,100.0,0,65.9,2038.6,0,1.3
LA-2026-1063,Infrastructure Project 63,Maharashtra,District-63,Railways & Dedicated Freight,0,67.8,2,59.5,681.5,0,2.9
LA-2026-1064,Infrastructure Project 64,Madhya Pradesh,District-64,Renewable Energy & Solar,2,100.0,0,58.8,780.6,0,1.9
LA-2026-1065,Infrastructure Project 65,Madhya Pradesh,District-65,Ports & Maritime,3,100.0,1,10.0,1067.8,0,3.9
LA-2026-1066,Infrastructure Project 66,Gujarat,District-66,Ports & Maritime,1,54.5,5,56.2,1435.3,1,5.2
LA-2026-1067,Infrastructure Project 67,Gujarat,District-67,Ports & Maritime,2,52.5,2,30.4,2469.0,1,5.1
LA-2026-1068,Infrastructure Project 68,Tamil Nadu,District-68,Highways & Expressways,1,60.8,1,49.4,855.7,0,3.5
LA-2026-1069,Infrastructure Project 69,Madhya Pradesh,District-69,Renewable Energy & Solar,1,19.9,1,82.1,1115.1,1,4.1
LA-2026-1070,Infrastructure Project 70,Uttar Pradesh,District-70,Ports & Maritime,3,80.6,2,70.2,1969.8,0,3.6
LA-2026-1071,Infrastructure Project 71,Rajasthan,District-71,Railways & Dedicated Freight,2,60.8,2,57.3,555.0,1,4.2
LA-2026-1072,Infrastructure Project 72,Uttar Pradesh,District-72,Highways & Expressways,1,52.8,0,55.4,2476.9,0,3.2
LA-2026-1073,Infrastructure Project 73,Tamil Nadu,District-73,Renewable Energy & Solar,3,55.5,2,100.0,2110.4,0,3.8
LA-2026-1074,Infrastructure Project 74,Uttar Pradesh,District-74,Railways & Dedicated Freight,0,73.4,1,67.2,1904.6,0,2.1
LA-2026-1075,Infrastructure Project 75,Rajasthan,District-75,Renewable Energy & Solar,1,58.1,1,79.7,2073.5,0,2.8
LA-2026-1076,Infrastructure Project 76,Karnataka,District-76,Railways & Dedicated Freight,3,65.0,2,97.5,1919.5,0,3.5
LA-2026-1077,Infrastructure Project 77,Madhya Pradesh,District-77,Highways & Expressways,2,87.8,1,67.4,2361.6,0,2.5
LA-2026-1078,Infrastructure Project 78,Madhya Pradesh,District-78,Ports & Maritime,1,80.2,3,96.2,917.0,0,2.5
LA-2026-1079,Infrastructure Project 79,Tamil Nadu,District-79,Ports & Maritime,1,100.0,3,75.1,2146.8,0,2.3
LA-2026-1080,Infrastructure Project 80,Telangana,District-80,Renewable Energy & Solar,2,85.1,4,41.9,995.1,1,4.5
LA-2026-1081,Infrastructure Project 81,Karnataka,District-81,Railways & Dedicated Freight,3,73.6,1,100.0,2205.9,0,2.8
LA-2026-1082,Infrastructure Project 82,Uttar Pradesh,District-82,Renewable Energy & Solar,4,100.0,4,98.6,460.4,0,3.6
LA-2026-1083,Infrastructure Project 83,Tamil Nadu,District-83,Railways & Dedicated Freight,1,100.0,1,78.1,971.0,0,1.4
LA-2026-1084,Infrastructure Project 84,Uttar Pradesh,District-84,Highways & Expressways,0,49.8,3,23.6,1896.3,1,4.8
LA-2026-1085,Infrastructure Project 85,Maharashtra,District-85,Renewable Energy & Solar,1,65.1,3,58.2,1535.4,0,3.9
LA-2026-1086,Infrastructure Project 86,Rajasthan,District-86,Railways & Dedicated Freight,0,49.7,2,77.9,396.3,0,3.1
LA-2026-1087,Infrastructure Project 87,Tamil Nadu,District-87,Renewable Energy & Solar,2,54.3,2,81.9,284.1,0,3.8
LA-2026-1088,Infrastructure Project 88,Rajasthan,District-88,Renewable Energy & Solar,1,64.9,2,100.0,1487.2,0,2.5
LA-2026-1089,Infrastructure Project 89,Madhya Pradesh,District-89,Renewable Energy & Solar,3,86.7,1,31.8,559.2,0,3.9
LA-2026-1090,Infrastructure Project 90,Gujarat,District-90,Ports & Maritime,1,55.9,1,46.8,439.4,0,3.7
LA-2026-1091,Infrastructure Project 91,Madhya Pradesh,District-91,Highways & Expressways,1,63.0,3,59.3,1113.5,0,4.0
LA-2026-1092,Infrastructure Project 92,Tamil Nadu,District-92,Railways & Dedicated Freight,1,36.6,3,100.0,1073.3,0,3.9
LA-2026-1093,Infrastructure Project 93,Madhya Pradesh,District-93,Ports & Maritime,2,28.4,3,100.0,2197.5,1,4.7
LA-2026-1094,Infrastructure Project 94,Telangana,District-94,Ports & Maritime,3,76.2,2,22.2,2120.3,1,4.9
LA-2026-1095,Infrastructure Project 95,Uttar Pradesh,District-95,Railways & Dedicated Freight,1,37.4,3,78.8,225.3,1,4.4
LA-2026-1096,Infrastructure Project 96,Tamil Nadu,District-96,Ports & Maritime,5,66.8,2,85.2,582.5,1,4.7
LA-2026-1097,Infrastructure Project 97,Karnataka,District-97,Highways & Expressways,0,41.3,1,79.5,1018.0,0,3.0
LA-2026-1098,Infrastructure Project 98,Maharashtra,District-98,Ports & Maritime,2,79.9,2,69.6,803.2,0,3.2
LA-2026-1099,Infrastructure Project 99,Karnataka,District-99,Renewable Energy & Solar,0,100.0,2,62.6,372.8,0,1.7
LA-2026-1100,Infrastructure Project 100,Maharashtra,District-100,Highways & Expressways,3,80.0,2,78.3,1030.2,0,3.5
